"","id","name","styleId","style.name","style.shortName","abv","ibu","srmId","originalGravity","isOrganic"
"79","c1VUth","100 Shilling",8,"Scottish-Style Heavy Ale","Scottish Heavy",7,22,NA,NA,"N"
"80","KrKXgs","100 Spoke IPA",30,"American-Style India Pale Ale","American IPA",6.7,70,NA,NA,"N"
"81","jAVFqc","100 STEPS STOUT",42,"American-Style Stout","American Stout",5.2,20,41,NA,"N"
"82","AdTDgh","100 Year Wheat",35,"American-Style Wheat Wine Ale","Wheatwine",4.9,11,NA,NA,"N"
"83","mcGHZ2","100% Lacto Berliner Weisse",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",NA,NA,NA,NA,"N"
"84","gS5w52","100% New York Farmhouse Ale",72,"French & Belgian-Style Saison","Saison",5.8,34,NA,NA,"N"
"85","eCLW18","100% Organic Ale",125,"Specialty Beer","Specialty",NA,NA,NA,NA,"Y"
"86","O7OIr3","100% Peated",129,"Smoke Beer (Lager or Ale)","Smoke Beer",NA,NA,13,NA,"N"
"87","L3y63v","1795 Stout",43,"American-Style Imperial Stout","American Imperial Stout",8,NA,NA,NA,"N"
"88","I0eJhr","1798 Revolution",2,"English-Style India Pale Ale","English IPA",NA,NA,NA,NA,"N"
"89","dbHzyL","17th Anniversary Wood Aged",31,"Imperial or Double India Pale Ale","Imperial IPA",10,NA,NA,NA,"N"
"90","LcpeBb","17th Saison",72,"French & Belgian-Style Saison","Saison",9,NA,NA,NA,"N"
"91","pIE6Bq","18 Degrees",43,"American-Style Imperial Stout","American Imperial Stout",11,NA,NA,NA,"N"
"92","0r7Xix","18 HH Stout",42,"American-Style Stout","American Stout",6.3,NA,NA,NA,"N"
"93","1Kg9sD","18 Mile Red Peach",40,"American-Style Sour Ale","Sour",7.2,NA,NA,NA,"N"
"94","cG6leo","18 Mile Rye Pale Ale",117,"Rye Ale or Lager with or without Yeast","Rye Ale",6,NA,NA,NA,"N"
"95","0lOg3f","18-Pound Test IPA",30,"American-Style India Pale Ale","American IPA",6,100,NA,1.056,"N"
"96","RRVJtL","180",127,"Gluten-Free Beer","Gluten-Free Beer",5.8,NA,NA,NA,"N"
"97","wEoYIl","180 Average Joe's Amber Ale",32,"American-Style Amber/Red Ale","Amber",4.4,25,NA,NA,"N"
"98","JsFb0I","180 IPA",30,"American-Style India Pale Ale","American IPA",7,NA,NA,NA,"N"
"99","x02ptD","180 Shilling",137,"Aged Beer (Ale or Lager)","Aged Beer",9.9,35,22,NA,"N"
"100","bmhGI9","1801 Koffie Saison",72,"French & Belgian-Style Saison","Saison",6.5,NA,NA,NA,"N"
"101","mJbkvo","1801 Vanilla Koffie Saison",72,"French & Belgian-Style Saison","Saison",6.5,16,NA,NA,"N"
"102","MCMfDo","1802 Armadia 21 decennium",59,"Belgian-Style Tripel","Belgian Tripel",8,NA,NA,NA,"N"
"103","pZeEPN","1803",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.5,22,NA,NA,"N"
"104","aeeemz","1803 Fat Ox Ale",13,"Old Ale","Old Ale",NA,NA,NA,NA,"N"
"105","AE0Qmm","1805 IPA",30,"American-Style India Pale Ale","American IPA",6,60,15,NA,"Y"
"106","POACfR","1806 Max I. Joseph",79,"Dortmunder / European-Style Export","Dortmunder",5.2,NA,NA,NA,"N"
"107","vpqpqA","1809",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",5,NA,NA,NA,"N"
"108","Rl8hib","1809",46,"Berliner-Style Weisse (Wheat)","Berlinerweisse",5,NA,NA,NA,"N"
"109","iYIU8a","1810 Cream Ale",109,"American-Style Cream Ale or Lager","Cream Ale",5.3,16.3,4,1.05,"N"
"110","9XmyZr","1811 Lager",128,"Indigenous Beer (Lager or Ale)","Indigenous Beer",5.1,NA,NA,NA,"N"
"111","kWXWGC","1812 Amber Ale",32,"American-Style Amber/Red Ale","Amber",5.2,NA,NA,NA,"N"
"112","MqGKPd","1812 Light",45,"German-Style Kölsch / Köln-Style Kölsch","Kölsch",5.2,NA,NA,NA,"N"
"113","cf8LBF","1812 Project",18,"Brown Porter","Brown Porter",5.8,36,NA,NA,"N"
"114","yxVyfE","1814 Brown Ale",37,"American-Style Brown Ale","American Brown",5.3,NA,NA,NA,"N"
"115","wevPSI","1814 ESB",5,"Extra Special Bitter","ESB",6.1,17,NA,1.054,"N"
"116","u5WJsW","1816 Black Lager",134,"Wood- and Barrel-Aged Dark Beer","BBL Aged Dark",4.7,27,NA,NA,"Y"
"117","TBNKmt","1819",58,"Belgian-Style Dubbel","Belgian Dubbel",7.4,NA,NA,NA,"N"
"118","YGuGOE","1821",72,"French & Belgian-Style Saison","Saison",5.5,NA,NA,NA,"N"
"119","Tl4kIJ","1821 Golden Ale",36,"Golden or Blonde Ale","Blonde",5.5,28,NA,NA,"N"
"120","0tIDxS","1834 Corktown Rye",117,"Rye Ale or Lager with or without Yeast","Rye Ale",6.8,NA,NA,NA,"N"
"121","SC48ZG","1836",5,"Extra Special Bitter","ESB",5.7,40,NA,1.057,"N"
"122","VLwX03","1837",70,"Other Belgian-Style Ales","Belgian Ale",7,NA,NA,NA,"N"
"123","f2xzIl","1840 IPA",30,"American-Style India Pale Ale","American IPA",NA,NA,NA,NA,"N"
"124","xwzfiW","1842 by Caulier",61,"Belgian-Style Blonde Ale","Belgian Blonde",4.3,NA,NA,NA,"N"
"125","SJTtiL","1842 Czech Pilsener",76,"Bohemian-Style Pilsener","Bohemian Pilsener",4,32,NA,NA,"N"
"126","Y2RzRP","1845 Celebration Ale",14,"Strong Ale","Strong Ale",6.3,NA,NA,NA,"N"
"127","lTDXBE","1847 Rye Stout",42,"American-Style Stout","American Stout",5,50,NA,NA,"N"
"128","mL6yFm","1849",110,"California Common Beer","California Common",5,32,NA,1.052,"N"
"129","Sq4LAS","1849 Lager",80,"Vienna-Style Lager","Vienna Lager",5.5,75,NA,NA,"N"
"130","2q9rr5","2018 Batch No. 8 Botanical",155,"Fruit Cider","Fruit Cider",6.9,NA,NA,NA,"N"
"131","3brwCF","2018 Bourbon Barrel Aged Infinity",43,"American-Style Imperial Stout","American Imperial Stout",12.4,NA,NA,NA,"N"
"132","mZsdU6","2020 IPA",30,"American-Style India Pale Ale","American IPA",7.4,74,NA,NA,"N"
"133","giUdjJ","2020 Lager",93,"American-Style Lager","American Lager",5,18,NA,NA,"N"
"134","Qtccxh","206 IPA",30,"American-Style India Pale Ale","American IPA",7,NA,NA,NA,"N"
"135","mgbe22","20:20 Blonde Ale",61,"Belgian-Style Blonde Ale","Belgian Blonde",NA,31,NA,NA,"N"
"136","6C2v7c","20th Anniversary",59,"Belgian-Style Tripel","Belgian Tripel",10.5,NA,NA,NA,"N"
"137","Oit2HK","20th Anniversary",70,"Other Belgian-Style Ales","Belgian Ale",8.2,NA,NA,NA,"N"
"138","CxAMDL","20th Anniversary",135,"Wood- and Barrel-Aged Strong Beer","BBL Aged Strong",10,80,41,NA,"N"
"139","ekgi0s","20th Anniversary",33,"Imperial Red Ale","Imperial Red",9.5,NA,NA,NA,"N"
"140","VVdVn0","20th Anniversary  IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",8.2,77,NA,NA,"N"
"141","LGcw7a","20th Anniversary Ale",31,"Imperial or Double India Pale Ale","Imperial IPA",7.5,NA,NA,NA,"N"
"142","U2WACS","20th Anniversary Ale",72,"French & Belgian-Style Saison","Saison",5,NA,NA,NA,"N"
"143","IbN9mX","20th Anniversary Ale",14,"Strong Ale","Strong Ale",9,NA,NA,NA,"N"
"144","M6Qpi5","20th Anniversary Ale - Imperial Brown",37,"American-Style Brown Ale","American Brown",8.4,NA,NA,NA,"N"
"145","triE9c","20th Anniversary American Saison Ale",72,"French & Belgian-Style Saison","Saison",5.8,NA,NA,NA,"N"
"146","nua52v","20th Anniversary Beer",29,"American-Style Strong Pale Ale","American Strong Pale",12,NA,11,NA,"N"
"147","Ze5mT3","20th Anniversary Bourbon Barrel Imperial Stout",43,"American-Style Imperial Stout","American Imperial Stout",9.5,55,NA,1.094,"N"
"148","mttNd0","20th Anniversary Citracado IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",9,80,NA,NA,"N"
"149","h76HYs","20th Anniversary Double Dry Hopped Sour Ale",40,"American-Style Sour Ale","Sour",8,4.8,6,1.074,"N"
"150","HR29vC","20th Anniversary Encore Series: 12th Anniversary Bitter Chocolate Oatmeal Stout",21,"Oatmeal Stout","Oatmeal Stout",9.2,55,NA,NA,"N"
"151","csfbzs","20th Anniversary Encore Series: Stone 08.08.08 Vertical Epic Ale",30,"American-Style India Pale Ale","American IPA",8.9,45,NA,NA,"N"
"152","q9Dooo","20th Anniversary Encore Series: Stone 14th Anniversary Emperial IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",8.9,100,NA,NA,"N"
"153","Yy6ZnB","20TH ANNIVERSARY ENCORE SERIES: STONE 6TH ANNIVERSARY PORTER",104,"Baltic-Style Porter","Baltic Porter",8,60,NA,NA,"N"
"154","2857hA","20th Anniversary Experimental IPA",30,"American-Style India Pale Ale","American IPA",5.5,NA,1,NA,"N"
"155","v4KRep","20th Anniversary Imperial Hash IPA on Brett",31,"Imperial or Double India Pale Ale","Imperial IPA",9,81,NA,NA,"N"
"156","lxvOzj","20th Anniversary Imperial IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",10,75,NA,NA,"N"
"157","peub0Z","20th Anniversary Imperial Leghumper",158,"American-Style Imperial Porter","American Imperial Porter",8,NA,NA,NA,"N"
"158","nnEAxg","20th Anniversary Imperial Rye IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",9.5,NA,NA,NA,"N"
"159","2Hbi0u","20th Anniversary Kettle Sour",40,"American-Style Sour Ale","Sour",NA,NA,NA,NA,"N"
"160","JLs7Oc","20th Anniversary Scotch Ale",15,"Scotch Ale","Scotch Ale",NA,NA,NA,NA,"N"
"161","wsVFe9","20th Birthday Suit",40,"American-Style Sour Ale","Sour",7.4,20,20,NA,"N"
"162","uIgENV","20th Street Ale Citra",125,"Specialty Beer","Specialty",7.3,NA,NA,NA,"N"
"163","WcP2Ww","20th Street Ale Crystal",125,"Specialty Beer","Specialty",7.3,NA,NA,NA,"N"
"164","HyxQE4","20th Street Ale Magnum",125,"Specialty Beer","Specialty",7.3,NA,NA,NA,"N"
"165","dOAeqa","21 Bean Salute",146,"Metheglin","Metheglin",11,NA,NA,NA,"N"
"166","5o6kCa","21 Feet 7 Inches",18,"Brown Porter","Brown Porter",5.2,330,NA,NA,"N"
"167","ArY8Js","21 the Hard Way",43,"American-Style Imperial Stout","American Imperial Stout",8.5,NA,NA,NA,"N"
"168","nAbTYm","210 Ale",6,"English-Style Summer Ale","English Summer Ale",6.1,24,NA,NA,"N"
"169","tHeqzT","212 IPA",2,"English-Style India Pale Ale","English IPA",6.5,62,NA,NA,"N"
"170","U8gFFE","3.8 Miles",173,"Juicy or Hazy Imperial or Double India Pale Ale","Juicy or Hazy Double IPA",8.4,NA,NA,NA,"N"
"171","ACbdts","30 Fathoms",104,"Baltic-Style Porter","Baltic Porter",7.25,NA,NA,NA,"N"
"172","1Uj6Jt","30 Jars of Hearts Saison",72,"French & Belgian-Style Saison","Saison",7.5,NA,NA,NA,"N"
"173","IbGjLT","30 Miles of Passion",173,"Juicy or Hazy Imperial or Double India Pale Ale","Juicy or Hazy Double IPA",7.8,22,7,NA,"N"
"174","wLFSFo","30 Miles On An Empty Tank",30,"American-Style India Pale Ale","American IPA",7.2,35,NA,NA,"N"
"175","mF8ZMp","30 Minute Coma",108,"Session Beer","Session",4.5,65,NA,NA,"N"
"176","OKzQjW","30 West Helles Lager",78,"Münchner (Munich)-Style Helles","Helles",7,30,NA,NA,"N"
"177","xxufqi","30 Years in Montauk",40,"American-Style Sour Ale","Sour",4.9,NA,NA,NA,"N"
"178","GbGphv","30,000 Acres",26,"Fresh \Wet\"" Hop Ale""","Wet Hop Ale",5.6,44,NA,NA,"N"
"179","IiQxGt","300",75,"German-Style Pilsener","German Pilsener",NA,NA,NA,NA,"N"
"180","UY2Ujm","300 IPA",30,"American-Style India Pale Ale","American IPA",7,74,7,1.063,"N"
"181","5Ru28Z","300 Mango",30,"American-Style India Pale Ale","American IPA",7,74,NA,NA,"N"
"182","g1Bmuz","300 Mile",26,"Fresh \Wet\"" Hop Ale""","Wet Hop Ale",NA,NA,NA,NA,"N"
"183","5cryiR","3000 IBU",31,"Imperial or Double India Pale Ale","Imperial IPA",15.5,NA,NA,NA,"N"
"184","a7d6vh","303 Lager",93,"American-Style Lager","American Lager",5,14,4,NA,"N"
"185","4EHfki","305 Blue",36,"Golden or Blonde Ale","Blonde",5,NA,NA,NA,"N"
"186","UIGgco","305 Golden Ale",36,"Golden or Blonde Ale","Blonde",5,NA,NA,NA,"N"
"187","u6i8uz","30A Beach Blonde",36,"Golden or Blonde Ale","Blonde",4.6,13,3,NA,"N"
"188","oNvjLk","30A IPA",30,"American-Style India Pale Ale","American IPA",4.5,70,NA,NA,"N"
"189","ItsgbT","30A Rosé Gose",165,"Contemporary Gose","Contemporary Gose",4.6,12,NA,NA,"N"
"190","VvA9kl","30th Anniversary",62,"Belgian-Style Pale Ale","Belgian Pale",7,65,NA,NA,"N"
"191","f5CWb6","30th Anniversary - Charlie, Fred & Ken's Bock",89,"German-Style Heller Bock/Maibock","Maibock",8.3,NA,NA,NA,"N"
"192","0KEzfx","30th Anniversary - Fritz and Ken's Ale",43,"American-Style Imperial Stout","American Imperial Stout",9.2,NA,NA,NA,"N"
"193","KjumXn","30th Anniversary - Grand Cru",138,"Other Strong Ale or Lager","Strong Ale",9.2,NA,NA,NA,"N"
"194","AxGzzA","30th Anniversary - Triple Dry Hopped IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",8.8,88,NA,NA,"N"
"195","wQyJv6","30th Anniversary Ale",134,"Wood- and Barrel-Aged Dark Beer","BBL Aged Dark",12.5,25,41,NA,"N"
"196","6CEbHR","30th Anniversary Ale",43,"American-Style Imperial Stout","American Imperial Stout",11,NA,41,NA,"N"
"197","Imxzti","30th Anniversary Cherry Stout Reserve",42,"American-Style Stout","American Stout",9,NA,NA,NA,"N"
"198","HotC5m","30th Anniversary Double IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",8.5,101,NA,NA,"N"
"199","dlZBx4","30th anniversary english-style barleywine ale",17,"British-Style Barley Wine Ale","British Barleywine",11.5,50,NA,1.115,"N"
"200","CJxRcf","30th Anniversary Imperial Oyster Stout",44,"Specialty Stouts","Stout",11,37,NA,NA,"N"
"201","H11jCj","30th Anniversary Keller Pils",75,"German-Style Pilsener","German Pilsener",5.1,NA,NA,NA,"N"
"202","xj90cO","30th Anniversary Pilsner Series - Mandarina",76,"Bohemian-Style Pilsener","Bohemian Pilsener",6.5,NA,NA,NA,"N"
"203","CQQuww","30th Anniversary West London-Style Ale",4,"Special Bitter or Best Bitter","Special Bitter",4.6,40,NA,NA,"N"
"204","GjM3lX","30° 90°",93,"American-Style Lager","American Lager",4.5,20,NA,NA,"N"
"205","9eyUBt","31",83,"European-Style Dark / Münchner Dunkel","Euro Dark",5.7,27,31,1.057,"N"
"206","WeF2nK","31 Heroes",30,"American-Style India Pale Ale","American IPA",6.9,NA,NA,NA,"N"
"207","UQBWDD","31 Kings",30,"American-Style India Pale Ale","American IPA",6.5,75,11,NA,"N"
"208","A3ym1i","311 Amber Ale",32,"American-Style Amber/Red Ale","Amber",5.5,25,NA,NA,"N"
"209","W9DmhK","312 Dry-Hopped",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",4.2,20,NA,NA,"N"
"210","MZvanV","312 Rhubarb",114,"Fruit Wheat Ale or Lager with or without Yeast","Fruit Wheat Ale",4.2,20,NA,NA,"N"
"211","EaoR0H","312 Urban Wheat Ale",112,"Light American Wheat Ale or Lager with Yeast","Wheat Ale",4.2,18,3,NA,"N"
"212","Bkeg7V","313 Polish Lager",93,"American-Style Lager","American Lager",4.5,15,NA,NA,"N"
"213","Gb6REi","32 Inning Ale",98,"American-Style Pilsener","American Pilsener",NA,NA,NA,NA,"N"
"214","TlexU5","4th Anniversary IPA",30,"American-Style India Pale Ale","American IPA",NA,NA,NA,NA,"N"
"215","W08Pl4","4th Anniversary Tropical Triple IPA",31,"Imperial or Double India Pale Ale","Imperial IPA",10,NA,NA,NA,"N"
"216","1FyimB","4th Noel",14,"Strong Ale","Strong Ale",5.1,NA,NA,NA,"N"
"217","jt3mlF","4th Quarter Porter",18,"Brown Porter","Brown Porter",5.5,NA,NA,NA,"N"
"218","yHUCc8","4x4 SMASH - Grapefruit Citra",2,"English-Style India Pale Ale","English IPA",5.8,NA,NA,NA,"N"
"219","HgyMVN","4X4 SMASH - Pineapple",2,"English-Style India Pale Ale","English IPA",5.8,44,NA,NA,"N"
"220","bHRkf6","4x8",31,"Imperial or Double India Pale Ale","Imperial IPA",12,100,NA,NA,"N"
"221","89tQDH","5 & 20 IPA",30,"American-Style India Pale Ale","American IPA",6.5,72,NA,NA,"N"
"222","jscZNl","5 Anniversaire",59,"Belgian-Style Tripel","Belgian Tripel",8,NA,NA,NA,"N"
"223","P51tHV","5 Apostles",72,"French & Belgian-Style Saison","Saison",5.8,NA,NA,NA,"N"
"224","FcH1ln","5 Barrel Pale Ale",3,"Ordinary Bitter","Bitter",5.2,36,25,NA,"N"
"225","H3Dh7q","5 Beers for 5 Years: Barleywine",34,"American-Style Barley Wine Ale","American Barleywine",NA,NA,NA,NA,"N"
